Attitude,,,,Error,,,DError,,,Torque,,
0.8180521,0.4918164,-0.291917,0.06076083,39.79958,106.2389,18.63084,0,0,0,-11.93988,-31.87166,-5.589251
0.8155029,0.493017,-0.2959771,0.06547394,40.55225,106.4267,18.57774,-6.021301,-1.502319,0.4248047,-18.18698,-33.43031,-5.148516
0.8118053,0.4948353,-0.3013373,0.07284205,41.67287,106.6122,18.48423,-8.964996,-1.484619,0.7480469,-21.46686,-33.46829,-4.797222
0.8081232,0.4966911,-0.3061781,0.08055983,42.80392,106.7212,18.37526,-9.04837,-0.8718262,0.8717651,-21.88955,-32.88819,-4.640813
0.8044308,0.4985572,-0.3106461,0.08849206,43.93943,106.7764,18.25384,-9.084076,-0.4417725,0.9713745,-22.2659,-32.4747,-4.504777
0.8007106,0.5004156,-0.3148371,0.09656296,45.07678,106.7922,18.12204,-9.098846,-0.1262207,1.054382,-22.62188,-32.16388,-4.38223
0.7969509,0.5022549,-0.3188122,0.1047288,46.2148,106.7773,17.98115,-9.104126,0.1196289,1.127136,-22.96857,-31.91355,-4.267208
0.7931448,0.5040673,-0.3226092,0.1129635,47.35285,106.7368,17.83178,-9.104431,0.3234863,1.194946,-23.31029,-31.69756,-4.154588
0.7892883,0.5058478,-0.3262518,0.1212513,48.49061,106.6739,17.67417,-9.102051,0.5031738,1.260864,-23.64923,-31.499,-4.041388
0.785379,0.507593,-0.3297539,0.1295823,49.62783,106.5902,17.50812,-9.097778,0.6700439,1.32843,-23.98613,-31.30701,-3.924006
0.7814161,0.5093008,-0.3331235,0.1379504,50.76432,106.4862,17.33324,-9.091949,0.8317871,1.398987,-24.32125,-31.11407,-3.800987
0.7773995,0.5109696,-0.336365,0.1463512,51.89989,106.3621,17.14894,-9.084564,0.9929199,1.474426,-24.65453,-30.9157,-3.670256
0.7733298,0.512598,-0.3394803,0.1547821,53.03435,106.2175,16.9545,-9.075623,1.156982,1.555542,-24.98593,-30.70825,-3.530807
0.7692078,0.5141852,-0.3424695,0.163241,54.16748,106.0516,16.74902,-9.065094,1.326538,1.643799,-25.31534,-30.48895,-3.380908
0.7650348,0.5157304,-0.3453318,0.1717266,55.29906,105.8637,16.53155,-9.052612,1.50354,1.739807,-25.64233,-30.25557,-3.219657
0.7608122,0.5172326,-0.3480656,0.1802377,56.42883,105.6525,16.30096,-9.038177,1.689453,1.844727,-25.96683,-30.0063,-3.045561
0.756542,0.5186911,-0.3506686,0.1887735,57.55652,105.4167,16.05605,-9.021484,1.886108,1.959229,-26.28844,-29.73892,-2.857588
0.7522259,0.5201052,-0.353138,0.1973335,58.68182,105.1549,15.79546,-9.002411,2.094849,2.084778,-26.60696,-29.45162,-2.653859
0.7478663,0.5214739,-0.3554705,0.2059172,59.80438,104.8652,15.51773,-8.980469,2.317383,2.221802,-26.92178,-29.14218,-2.433517
0.7434656,0.5227963,-0.3576625,0.2145241,60.9238,104.5458,15.22123,-8.955383,2.555176,2.372009,-27.23252,-28.80857,-2.19436
0.7390266,0.5240716,-0.3597096,0.2231542,62.03965,104.1945,14.90413,-8.926788,2.810181,2.536804,-27.53868,-28.44818,-1.934435
0.7345524,0.5252985,-0.3616071,0.2318072,63.15142,103.809,14.56448,-8.894165,3.084717,2.717163,-27.83959,-28.05797,-1.652182
0.7300466,0.526476,-0.3633496,0.2404832,64.25853,103.3864,14.20009,-8.856873,3.380615,2.915161,-28.13443,-27.6353,-1.344866
0.7255128,0.5276028,-0.364931,0.2491823,65.36034,102.9238,13.8085,-8.814453,3.700562,3.13269,-28.42255,-27.17658,-1.009861
0.7209557,0.5286775,-0.3663445,0.2579046,66.45609,102.4179,13.38704,-8.766052,4.047607,3.371704,-28.70288,-26.67775,-0.6444077
0.7163802,0.5296985,-0.3675821,0.2666505,67.54489,101.8648,12.93272,-8.710388,4.424561,3.634521,-28.97386,-26.13488,-0.2452958
0.7117919,0.530664,-0.3686352,0.27542,68.62572,101.2604,12.44225,-8.646667,4.835327,3.923828,-29.23439,-25.54279,0.1911542
0.7071973,0.5315722,-0.3694938,0.2842136,69.6974,100.5999,11.91196,-8.573425,5.283569,4.242249,-29.48265,-24.89641,0.668659
0.7026039,0.5324209,-0.3701465,0.2930314,70.75853,99.87825,11.33781,-8.489014,5.773438,4.593201,-29.71657,-24.19004,1.191856
0.6980202,0.5332078,-0.3705805,0.3018734,71.80745,99.08954,10.71539,-8.391357,6.309692,4.979431,-29.93359,-23.41717,1.764815
0.6934559,0.5339302,-0.3707812,0.3107393,72.84224,98.22742,10.03973,-8.27832,6.896973,5.405273,-30.13099,-22.57125,2.393355
0.6889225,0.5345851,-0.370732,0.3196285,73.8606,97.28482,9.305595,-8.146851,7.540771,5.873047,-30.30503,-21.64468,3.081368
0.6844334,0.5351692,-0.3704143,0.3285394,74.85982,96.25418,8.507355,-7.993774,8.245117,6.385925,-30.45172,-20.63114,3.833719
0.6800036,0.535679,-0.3698072,0.3374696,75.83665,95.12737,7.638992,-7.814697,9.014526,6.946899,-30.56569,-19.52368,4.655202
0.6756509,0.5361106,-0.3688875,0.346415,76.78737,93.89587,6.694389,-7.605713,9.851929,7.556824,-30.64192,-18.31684,5.548507
0.6713955,0.5364594,-0.3676298,0.3553698,77.70753,92.55113,5.667595,-7.361267,10.75793,8.214355,-30.67353,-17.00741,6.514077
